RegionID,SizeRank,RegionName,RegionType,StateName,BaseDate,12/31/2023,2/29/2024,11/30/2024
394848,210,"Medford, OR",msa,OR,11/30/2023,-0.3,-1.1,-3.1
394459,212,"Charlottesville, VA",msa,VA,11/30/2023,0.1,-0.3,-1.3
394763,213,"Lake Charles, LA",msa,LA,11/30/2023,-1.1,-3.4,-10.4
394773,214,"Las Cruces, NM",msa,NM,11/30/2023,-0.1,-0.4,0.6
394464,215,"Chico, CA",msa,CA,11/30/2023,-0.6,-2,-4.3
394681,216,"Hilton Head Island, SC",msa,SC,11/30/2023,0.1,-0.1,1.7
394346,217,"Athens, GA",msa,GA,11/30/2023,0.3,0.8,2.6
394765,218,"Lake Havasu City, AZ",msa,AZ,11/30/2023,-0.3,-1.2,-0.2
394485,219,"Columbia, MO",msa,MO,11/30/2023,-0.3,-0.9,-1
395114,220,"Springfield, IL",msa,IL,11/30/2023,0.2,-0.7,-3.5
394691,221,"Houma, LA",msa,LA,11/30/2023,0.1,-1.1,-6.9
394872,222,"Monroe, LA",msa,LA,11/30/2023,-0.1,-1.3,-4.9
394565,223,"Elkhart, IN",msa,IN,11/30/2023,-0.1,-0.4,-0.5
394726,224,"Johnson City, TN",msa,TN,11/30/2023,0.4,0.7,2.7
395247,225,"Yuma, AZ",msa,AZ,11/30/2023,0,-0.2,1.8
394623,226,"Gainesville, GA",msa,GA,11/30/2023,0.1,0.1,2
394716,227,"Jacksonville, NC",msa,NC,11/30/2023,0.2,0.4,2
394597,228,"Florence, SC",msa,SC,11/30/2023,0.5,0.5,-0.1
394680,229,"Hilo, HI",msa,HI,11/30/2023,-0.2,-0.7,-0.7
395118,230,"St. Cloud, MN",msa,MN,11/30/2023,0,-0.2,-0.9
395011,231,"Racine, WI",msa,WI,11/30/2023,0.1,0.1,-0.4
394380,232,"Bend, OR",msa,OR,11/30/2023,-0.1,-0.7,0.2
395047,233,"Saginaw, MI",msa,MI,11/30/2023,0.3,0.9,2.2
395202,234,"Warner Robins, GA",msa,GA,11/30/2023,0.2,0,0.8
395151,235,"Terre Haute, IN",msa,IN,11/30/2023,-0.1,-0.4,-0.6
395162,236,"Torrington, CT",msa,CT,11/30/2023,0.4,0.6,1.3
395009,237,"Punta Gorda, FL",msa,FL,11/30/2023,-0.5,-1.5,0.6
394386,239,"Billings, MT",msa,MT,11/30/2023,-0.2,-0.5,0
395018,240,"Redding, CA",msa,CA,11/30/2023,-0.3,-1,-2.1
394748,241,"Kingston, NY",msa,NY,11/30/2023,0.3,0.4,2.3
394960,242,"Panama City, FL",msa,FL,11/30/2023,-0.2,-0.2,1.2
394729,243,"Joplin, MO",msa,MO,11/30/2023,0,0,1.1
394539,244,"Dover, DE",msa,DE,11/30/2023,0.4,0.4,0.9
394559,245,"El Centro, CA",msa,CA,11/30/2023,0.2,-0.2,-0.6
394712,246,"Jackson, TN",msa,TN,11/30/2023,-0.1,-0.4,0.7
395246,247,"Yuba City, CA",msa,CA,11/30/2023,-0.1,-0.8,-1.3
394406,248,"Bowling Green, KY",msa,KY,11/30/2023,0.1,0,0.1
395119,249,"St. George, UT",msa,UT,11/30/2023,-0.3,-1.2,0.1
394896,250,"Muskegon, MI",msa,MI,11/30/2023,0.2,0.3,1.2
394299,251,"Abilene, TX",msa,TX,11/30/2023,-0.2,-0.5,-2.1
394707,252,"Iowa City, IA",msa,IA,11/30/2023,-0.1,-1,-3.4
394351,253,"Auburn, AL",msa,AL,11/30/2023,-0.1,-0.6,-1.3
394860,254,"Midland, TX",msa,TX,11/30/2023,-0.2,-1.5,-5.6
394671,255,"Hattiesburg, MS",msa,MS,11/30/2023,-0.4,-1.3,-3.3
753869,255,"Bloomington, IL",msa,IL,11/30/2023,0.1,-0.4,-2.1
394944,257,"Oshkosh, WI",msa,WI,11/30/2023,-0.1,-0.3,-0.6
394555,258,"Eau Claire, WI",msa,WI,11/30/2023,-0.1,-0.4,-0.3
394651,259,"Greenville, NC",msa,NC,11/30/2023,0.1,-0.1,1.5
394428,260,"Burlington, NC",msa,NC,11/30/2023,0.2,0.2,2
395210,261,"Waterloo, IA",msa,IA,11/30/2023,-0.1,-1.2,-3.1
394480,262,"Coeur d'Alene, ID",msa,ID,11/30/2023,-0.5,-0.9,2
394553,263,"East Stroudsburg, PA",msa,PA,11/30/2023,0.3,0.3,3.1
395007,264,"Pueblo, CO",msa,CO,11/30/2023,-0.5,-1.4,-0.5
